noise_type,noise_param,mean_reward,std_reward,mean_steps,std_steps,mean_angle_rad,std_angle_rad,success_rate
baseline,0.0,-438.69,1838.44,1000.0,0.0,0.0111,0.0061,0.0
gaussian,0.05,-437.69,1838.71,1000.0,0.0,0.0111,0.0061,0.0
gaussian,0.1,-436.69,1838.97,1000.0,0.0,0.0111,0.0061,0.0
gaussian,0.2,-436.69,1839.13,1000.0,0.0,0.0111,0.0061,0.0
gaussian,0.3,-438.69,1838.6,1000.0,0.0,0.0111,0.0061,0.0
gaussian,0.5,-1060.79,2435.23,1000.0,0.0,0.0111,0.0061,0.0
dropout,0.1,-438.69,1838.44,1000.0,0.0,0.0111,0.0061,0.0
dropout,0.2,-440.69,1837.47,1000.0,0.0,0.0111,0.0061,0.0
dropout,0.3,-435.68,1836.13,1000.0,0.0,0.0112,0.0061,0.0
dropout,0.5,-436.68,1835.86,1000.0,0.0,0.0112,0.0061,0.0
dropout,0.8,-1053.74,2421.48,1000.0,0.0,0.0112,0.0062,0.0
bias,0.05,-437.69,1838.71,1000.0,0.0,0.0111,0.0061,0.0
bias,0.1,-437.69,1838.7,1000.0,0.0,0.0111,0.0061,0.0
bias,0.2,-435.69,1839.4,1000.0,0.0,0.0111,0.0061,0.0
bias,0.3,-435.67,1835.8,1000.0,0.0,0.0111,0.0061,0.0
partial_failure_index,0,-438.69,1838.44,1000.0,0.0,0.0111,0.0061,0.0
partial_failure_middle,1,-438.69,1838.44,1000.0,0.0,0.0111,0.0061,0.0
partial_failure_ring,2,-438.69,1838.44,1000.0,0.0,0.0111,0.0061,0.0
partial_failure_little,3,-438.69,1838.44,1000.0,0.0,0.0111,0.0061,0.0
partial_failure_thumb,4,-1058.75,2431.42,1000.0,0.0,0.0111,0.0062,0.0
